,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Tyreek Hill,,0,WR,WR1,9600,MIA,@ WAS,32,29.25,11.8,21.3,27.5,0,0,0,0,0,0,0,0,0,12.95,0.3333,12.95,8.99,123.37,0.86,0,0,0,0,0,0,26.49,26.49,0,8.79,50.09,26.49,26.49,0,100,,39,2.8,1,1,1,1,1,1,0.01,,,0.01,,,,0.88,6.56,0.06,8.39,5.76,80.57,0.6,,,,,,,
C.J. Stroud,,0,QB,QB1,8100,HOU,vs DEN,15,25.25,9.5,0,22.7,1,40.47,346.91,2.12,0.61,0.1013,2.85,14.29,0.39,2.85,0,0,0,0,0,0,0,0,0,0,0,25.52,25.52,0,11.27,44.52,25.52,25.52,0,100,,58,3.2,2,1,1,8,2,2,35.55,22.64,296.91,0.45,2.36,1.73,100.05,2.64,12,0.27,0.09,0.09,,,,,,,,,
Keenan Allen,!,0,WR,WR1,9000,LAC,@ NE,22,22.75,9.9,17.1,24.7,0,0,0,0,0,0,0,0,0,14.09,0.3616,14.09,10.05,114.32,0.61,0,0,0,0,0,0,25.14,25.14,0,10.29,44.94,25.14,25.14,0,100,,47,2.8,2,2,2,2,3,3,0.03,0.01,0.46,,0.01,0.01,6.56,0.17,1.06,,9.93,6.95,79.93,0.44,,,,,,,
Christian McCaffrey,,0,RB,RB1,9000,SF,@ PHI,15,24.75,10.7,21.8,26.1,0,0,0,0,0,0.622,18.92,88.27,0.82,24.65,0.19,5.73,4.65,40.02,0.37,0,0,0,0,0,0,24.62,24.62,0,8.57,46.02,24.62,24.62,0,100,,54,2.7,1,1,1,2,4,4,0.05,0.02,0.97,,,0.02,9.08,14.07,65.3,0.56,7.05,5.7,48.8,0.32,,,,,,,
Jalen Hurts,,0,QB,QB1,8200,PHI,vs SF,12,22.75,11.3,26.7,25.6,1,28.91,231.68,1.47,0.66,0.36,10.16,44.58,0.85,10.16,0,0,0,0,0,0,0,0,0,0,0,24.05,24.05,0,7.1,46.65,24.05,24.05,0,100,,45,2.9,1,2,2,7,5,5,25.42,16.18,192.78,0.53,1.91,1.13,82.65,8.76,41.98,0.67,0.04,0.02,0.05,,,,,,,,
Dak Prescott,,0,QB,QB1,7200,DAL,vs SEA,7,28.25,9.2,18.1,22.2,1,37.81,299.03,2.01,0.73,0.1575,5.11,23.71,0.35,5.11,0,0,0,0,0,0,0,0,0,0,0,23.74,23.74,0,9.94,42.14,23.74,23.74,0,100,,56,3.3,6,3,3,16,6,6,33.86,22.64,258.54,0.66,2.02,1.76,99.37,3.56,16.57,0.26,0.02,0.01,0.1,0.01,,,,,,,
CeeDee Lamb,,0,WR,WR1,8900,DAL,vs SEA,28,28.25,9.9,18.6,22.5,0,0,0,0,0,0,0,0,0,11.42,0.302,11.42,8.07,103.86,0.7,0,0,0,0,0,0,22.66,22.66,0,7.81,42.46,22.66,22.66,0,100,,42,2.5,3,3,3,3,7,7,,,,,0.02,,,0.6,4.32,0.03,8.17,5.63,74.37,0.43,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8500,DET,@ NO,23,25.25,10.2,17.5,23,0,0,0,0,0,0,0,0,0,11.96,0.2908,11.96,8.89,100.82,0.51,0,0,0,0,0,0,22.03,22.03,0,6.73,42.43,22.03,22.03,0,100,,42,2.6,5,4,4,5,8,8,,,,,0.02,,,0.45,4.02,0.02,8.9,6.62,73,0.38,,,,,,,
Tua Tagovailoa,,0,QB,QB1,7900,MIA,@ WAS,32,29.25,8.7,19.4,20,1,38.86,316.03,2.23,0.97,0.1138,3.06,7.09,0.09,3.06,0,0,0,0,0,0,0,0,0,0,0,21.84,21.84,0,8.79,39.24,21.84,21.84,0,100,,50,2.8,4,4,4,10,9,9,30.96,20.66,238.13,0.7,1.66,1.57,95.82,2.74,7.38,0.13,,,,,,,,,,,
Patrick Mahomes,,0,QB,QB1,7800,KC,@ GB,8,24.25,8.5,27,20.8,1,33.47,265.69,1.93,0.6,0.2264,5.2,27.63,0.16,5.2,0,0,0,0,0,0,0,0,0,0,0,21.47,21.47,0,8.72,38.47,21.47,21.47,0,100,,66,2.8,5,5,5,11,10,10,37.4,24.86,298.51,0.64,1.49,2.37,105.84,4.01,21.07,0.15,0.03,0.01,0.06,,,,,,,,
Justin Herbert,,0,QB,QB1,8000,LAC,@ NE,18,22.75,8.2,18.2,21.9,1,38.97,277.49,1.99,0.64,0.1532,3.55,15.88,0.17,3.55,0,0,0,0,0,0,0,0,0,0,0,21.03,21.03,0,8.73,37.43,21.03,21.03,0,100,,63,2.6,3,6,6,9,11,11,39.47,26.37,281.9,0.68,2.1,1.9,97.36,3.67,15.28,0.18,0.05,0.05,,,,,,,,,
Michael Pittman,,0,WR,WR1,7100,IND,@ TEN,31,21.75,7.4,14,16.4,0,0,0,0,0,0,0,0,0,13.12,0.348,13.12,9.02,92.76,0.42,0,0,0,0,0,0,20.82,20.82,0,9.72,35.62,20.82,20.82,0,100,,44,2.9,13,5,5,17,12,12,,,,,,,,0.19,1.75,,7.74,5.32,57.79,0.25,,,,,,,
Russell Wilson,,0,QB,QB1,5700,DEN,@ HOU,27,22.25,8.2,16.1,18.1,1,33.7,260.4,1.83,0.59,0.2017,5.25,26.95,0.13,5.25,0,0,0,0,0,0,0,0,0,0,0,20.62,20.62,0,8.32,37.02,20.62,20.62,0,100,,59,3.6,14,7,7,31,13,13,31.41,20.44,241.04,0.57,2.91,1.87,101.92,4.75,24.92,0.11,0.03,0.03,0.03,0.01,,,,,,,
Tony Pollard,,0,RB,RB1,6800,DAL,vs SEA,19,28.25,8.8,16.3,14.3,0,0,0,0,0,0.6068,19.7,93.09,0.57,25.08,0.1423,5.38,4.25,29.99,0.09,0,0,0,0,0,0,20.52,20.52,0,7.32,38.12,20.52,20.52,0,100,,21,3,9,2,2,20,14,14,,,,,,,,9.31,45.63,0.29,2.88,2.22,17.22,0.07,,,,,,,
Tank Dell,!,0,WR,WR2,7400,HOU,vs DEN,10,25.25,10.4,0,17.4,0,0,0,0,0,0,0,0,0,9.64,0.2383,9.64,5.95,90.15,0.92,0,0,0,0,0,0,20.49,20.49,0,4.89,41.29,20.49,20.49,0,100,,40,2.8,10,6,6,14,15,15,,,,,0.1,,,1.1,5.1,,7.5,4.7,70.9,0.7,,,,,,,
Zack Moss,,0,RB,RB1,4600,IND,@ TEN,21,21.75,7.6,5.3,14.3,0,0,0,0,0,0.8037,24.68,113.88,0.79,27.36,0.0712,2.68,2.07,14.54,0.1,0,0,0,0,0,0,20.25,20.25,0,8.85,35.45,20.25,20.25,0,100,,12,4.4,29,3,3,42,16,16,,,,,,,,9.02,39.88,0.29,1.76,1.35,9.57,0.06,,,,,,,
Austin Ekeler,,0,RB,RB1,8300,LAC,@ NE,10,22.75,9.8,22.5,16.3,0,0,0,0,0,0.5361,12.43,54.4,0.53,18.91,0.1664,6.48,5.01,45.15,0.32,0,0,0,0,0,0,20.07,20.07,0,5.37,39.67,20.07,20.07,0,100,,43,2.4,2,4,4,6,17,17,,,,,,,,9.69,43.76,0.4,5.53,4.39,39.45,0.32,,,,,,,
Jared Goff,,0,QB,QB1,6500,DET,@ NO,17,25.25,8.5,18.3,19.5,1,41.12,309.12,1.79,0.81,0.0811,2.33,4.53,0.12,2.33,0,0,0,0,0,0,0,0,0,0,0,19.89,19.89,0,7.14,36.89,19.89,19.89,0,100,,53,3.1,9,8,8,23,18,18,35.29,22.77,260.64,0.7,1.88,1.55,93.91,2.1,4.44,0.11,0.01,0.01,0.04,,,,,,,,
Mike Evans,,0,WR,WR1,7700,TB,vs CAR,5,20.75,10.2,15.6,18.1,0,0,0,0,0,0,0,0,0,10.46,0.2748,10.46,6.08,91.75,0.75,0,0,0,0,0,0,19.76,19.76,0,4.46,40.16,19.76,19.76,0,100,,40,2.6,8,7,7,12,19,19,,,,,,,,0.01,0.08,,8.67,5.03,76.89,0.59,,,,,,,
Brock Purdy,,0,QB,QB1,6100,SF,@ PHI,21,24.75,8.2,12.3,19.6,1,30.18,279.59,1.81,0.67,0.1109,3.37,10.74,0.15,3.37,0,0,0,0,0,0,0,0,0,0,0,19.73,19.73,0,7.43,36.13,19.73,19.73,0,100,,50,3.2,11,9,9,27,20,20,23.75,16.4,212.25,0.5,1.05,1.6,63.19,2.75,6.75,0.15,,,,,,,,,,,
Trevor Lawrence,,0,QB,QB1,6600,JAC,vs CIN,26,23.25,7.6,19.1,17.9,1,36.18,263.83,1.27,0.74,0.2017,5.18,23.83,0.37,5.18,0,0,0,0,0,0,0,0,0,0,0,19.5,19.5,0,8.1,34.7,19.5,19.5,0,100,,54,3,8,10,10,22,21,21,34.58,22.11,233.33,0.71,1.87,1.09,85.83,4.13,19.22,0.22,,,,,,,,,,,
Raheem Mostert,,0,RB,RB1,7300,MIA,@ WAS,8,29.25,10.5,11,19,0,0,0,0,0,0.5697,15.32,81.45,0.85,19.16,0.0989,3.84,2.81,21.45,0.21,0,0,0,0,0,0,19.46,19.46,0,3.71,40.46,19.46,19.46,0,100,,11,2.7,4,5,5,15,22,22,,,,,,,,10.29,55.72,0.49,1.85,1.38,11.22,0.11,,,,,,,
Sam Howell,,0,QB,QB1,6200,WAS,vs MIA,28,20.25,7.5,19.3,20.6,1,33.86,241.76,1.45,0.94,0.1649,3.91,24.72,0.37,3.91,0,0,0,0,0,0,0,0,0,0,0,19.22,19.22,0,7.97,34.22,19.22,19.22,0,100,,63,3.1,10,11,11,26,23,23,38.85,25.69,269.77,1.08,4.23,1.46,79.68,3.15,19.77,0.31,,,,,,,,,,,
