"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"vs. WAS","4 out of 5 stars","A+","23.6","+1.8","56% (9/16)","7%","Great"
"2","Jalen Hurts",PHI,"vs. CLE","2 out of 5 stars","A","22.5","-0.3","60% (9/15)","15%","Bad"
"3","Jayden Daniels",WAS,"at BAL","4 out of 5 stars","A","21.2","+3.5","60% (3/5)","18%","Average"
"4","Joe Burrow",CIN,"at NYG","3 out of 5 stars","A","20.3","+2.8","66% (6/9)","4%","Bad"
"5","Jordan Love",GB,"vs. ARI","3 out of 5 stars","A","19.6","+3.6","64% (9/14)","0%","Good"
"6","Dak Prescott",DAL,"vs. DET","4 out of 5 stars","B+","19.1","+3.1","56% (9/16)","6%","Average"
"7","Josh Allen",BUF,"at NYJ","1 out of 5 stars","B+","18.9","+0.2","56% (9/16)","5%","Great"
"8","Kyler Murray",ARI,"at GB","3 out of 5 stars","B","18.8","+0.9","58% (7/12)","2%","Good"
"9","Justin Fields",PIT,"at LV","5 out of 5 stars","B","18.6","-0.2","50% (6/12)","23%","Good"
"10","Brock Purdy",SF,"at SEA","3 out of 5 stars","B","18.4","+0.2","43% (7/16)","2%","Bad"
"11","C.J. Stroud",HOU,"at NE","2 out of 5 stars","B-","18.3","+0.5","28% (4/14)","6%","Good"
"12","Caleb Williams",CHI,"vs. JAC","5 out of 5 stars","C+","18.1","-2.0","40% (2/5)","2%","Bad"
"13","Baker Mayfield",TB,"at NO","1 out of 5 stars","C+","17.9","+3.0","70% (12/17)","6%","Great"
"14","Kirk Cousins",ATL,"at CAR","5 out of 5 stars","C","17.8","+0.6","50% (4/8)","0%","Good"
"15","Jared Goff",DET,"at DAL","4 out of 5 stars","C","17.4","+0.5","46% (7/15)","2%","Poor"
"16","Daniel Jones",NYG,"vs. CIN","5 out of 5 stars","C-","17.0","-2.4","50% (3/6)","14%","Bad"
"17","Geno Smith",SEA,"vs. SF","4 out of 5 stars","C-","16.7","+0.3","56% (9/16)","1%","Bad"
"18","Andy Dalton",CAR,"vs. ATL","3 out of 5 stars","D+","16.2","+1.0","50% (2/4)","0%","Average"
"19","Joe Flacco",IND,"at TEN","3 out of 5 stars","D","15.7","+7.9","85% (6/7)","1%","Good"
"20","Trevor Lawrence",JAC,"at CHI","1 out of 5 stars","D","15.5","+0.5","40% (6/15)","4%","Poor"
"21","Will Levis",TEN,"vs. IND","5 out of 5 stars","D","15.1","-2.7","30% (4/13)","3%","Great"
"22","Aaron Rodgers",NYJ,"vs. BUF","1 out of 5 stars","D-","14.8","-1.1","20% (1/5)","1%","Bad"
"23","Deshaun Watson",CLE,"at PHI","3 out of 5 stars","F","14.3","-3.3","37% (3/8)","6%","Average"
"24","Justin Herbert",LAC,"at DEN","2 out of 5 stars","F","13.8","-3.0","30% (4/13)","2%","Good"
"25","Bo Nix",DEN,"vs. LAC","2 out of 5 stars","F","13.3","+0.2","40% (2/5)","17%","Bad"
"26","Anthony Richardson",IND,"at TEN","3 out of 5 stars","F","12.4","-5.5","25% (1/4)","9%","Poor"
"27","Drake Maye",NE,"vs. HOU","3 out of 5 stars","F","11.6","-0.2","0% (0/1)","1%","Bad"
"28","Aidan O'Connell",LV,"vs. PIT","1 out of 5 stars","F","10.0","-0.2","33% (3/9)","0%","Bad"
"29","Derek Carr",NO,"vs. TB","5 out of 5 stars","F","3.6","+1.0","62% (10/16)","8%","Good"
"30","Jake Haener",NO,"vs. TB","5 out of 5 stars","F","0.2","-0.4","0% (0/1)","0%","Bad"
"31","Spencer Rattler",NO,"vs. TB","5 out of 5 stars","F","0.0","-","-","0%","N/A"
"32","Gardner Minshew II",LV,"vs. PIT","1 out of 5 stars","F","0.0","-0.1","50% (8/16)","1%","Average"
"33","Jacoby Brissett",NE,"vs. HOU","3 out of 5 stars","F","0.0","-5.2","0% (0/5)","2%","Bad"
"34","Jameis Winston",CLE,"at PHI","3 out of 5 stars","F","0.0","-0.1","50% (1/2)","0%","Bad"
