"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"at LAR","3 out of 5 stars","A+","22.0","+1.4","62% (10/16)","21%","Good"
"2","Lamar Jackson",BAL,"at LAC","3 out of 5 stars","A","21.7","+3.5","68% (11/16)","5%","Great"
"3","Justin Herbert",LAC,"vs. BAL","3 out of 5 stars","A","20.6","-1.8","46% (6/13)","3%","Poor"
"4","Jayden Daniels",WAS,"vs. DAL","4 out of 5 stars","A","19.9","-1.8","36% (4/11)","11%","Bad"
"5","Kyler Murray",ARI,"at SEA","3 out of 5 stars","A","19.0","+0.2","53% (8/15)","5%","Good"
"6","Bo Nix",DEN,"at LV","4 out of 5 stars","A","18.4","+2.5","63% (7/11)","10%","Poor"
"7","Patrick Mahomes II",KC,"at CAR","5 out of 5 stars","B+","18.1","-2.2","25% (4/16)","1%","Bad"
"8","Jared Goff",DET,"at IND","4 out of 5 stars","B","17.8","+1.7","50% (8/16)","2%","Good"
"9","Anthony Richardson",IND,"vs. DET","2 out of 5 stars","B","17.6","-2.5","22% (2/9)","10%","Average"
"10","Geno Smith",SEA,"vs. ARI","2 out of 5 stars","B","17.4","+0.8","60% (9/15)","5%","Bad"
"11","Tua Tagovailoa",MIA,"vs. NE","4 out of 5 stars","B-","17.2","-2.0","33% (4/12)","1%","Poor"
"12","Baker Mayfield",TB,"at NYG","5 out of 5 stars","B-","16.9","+4.3","75% (12/16)","3%","Great"
"13","Jordan Love",GB,"vs. SF","2 out of 5 stars","C+","16.6","+2.9","64% (9/14)","4%","Average"
"14","C.J. Stroud",HOU,"vs. TEN","3 out of 5 stars","C+","16.4","-2.9","20% (3/15)","3%","Bad"
"15","Drake Maye",NE,"at MIA","3 out of 5 stars","C","16.1","+2.1","57% (4/7)","2%","Great"
"16","Matthew Stafford",LAR,"vs. PHI","1 out of 5 stars","C","15.8","+1.7","50% (8/16)","0%","Bad"
"17","Sam Darnold",MIN,"at CHI","2 out of 5 stars","C-","15.5","+1.2","70% (7/10)","3%","Average"
"18","Caleb Williams",CHI,"vs. MIN","2 out of 5 stars","C-","15.3","-1.8","40% (4/10)","5%","Bad"
"19","Will Levis",TEN,"at HOU","3 out of 5 stars","D+","15.0","-2.8","41% (5/12)","3%","Great"
"20","Russell Wilson",PIT,"at CLE","4 out of 5 stars","D+","14.6","+1.6","66% (6/9)","4%","Bad"
"21","Jameis Winston",CLE,"vs. PIT","1 out of 5 stars","D","14.2","+2.8","50% (3/6)","2%","Average"
"22","Tommy DeVito",NYG,"vs. TB","4 out of 5 stars","D-","13.7","-3.7","25% (1/4)","0%","N/A"
"23","Brandon Allen",SF,"at GB","2 out of 5 stars","F","13.2","-0.1","0% (0/2)","0%","N/A"
"24","Bryce Young",CAR,"vs. KC","2 out of 5 stars","F","12.6","-2.0","16% (2/12)","3%","Bad"
"25","Gardner Minshew II",LV,"vs. DEN","2 out of 5 stars","F","12.1","-0.1","60% (9/15)","1%","Poor"
"26","Cooper Rush",DAL,"at WAS","4 out of 5 stars","F","11.5","+0.5","40% (2/5)","1%","Bad"
"27","Justin Fields",PIT,"at CLE","4 out of 5 stars","F","0.4","+1.0","50% (7/14)","13%","Average"
"28","Trey Lance",DAL,"at WAS","4 out of 5 stars","F","0.3","+0.3","50% (1/2)","0%","Bad"
"29","Mason Rudolph",TEN,"at HOU","3 out of 5 stars","F","0.2","+1.6","37% (3/8)","3%","Bad"
"30","Jacoby Brissett",NE,"at MIA","3 out of 5 stars","F","0.2","-1.8","10% (1/10)","4%","Bad"
"31","Malik Willis",GB,"vs. SF","2 out of 5 stars","F","0.2","+2.7","28% (2/7)","9%","Great"
"32","Desmond Ridder",LV,"vs. DEN","2 out of 5 stars","F","0.2","+1.0","28% (2/7)","0%","Great"
"33","Drew Lock",NYG,"vs. TB","4 out of 5 stars","F","0.1","+0.6","33% (2/6)","0%","Bad"
