"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"at CIN","4 out of 5 stars","A+","22.1","+0.5","50% (8/16)","5%","Great"
"2","Josh Allen",BUF,"at HOU","3 out of 5 stars","A","21.5","+1.0","62% (10/16)","7%","Great"
"3","Jayden Daniels",WAS,"vs. CLE","3 out of 5 stars","A","20.4","+4.4","75% (3/4)","21%","Great"
"4","Brock Purdy",SF,"vs. ARI","4 out of 5 stars","A","19.7","+1.0","50% (8/16)","2%","Bad"
"5","Jordan Love",GB,"at LAR","5 out of 5 stars","A-","19.1","+3.1","64% (9/14)","0%","Average"
"6","Justin Fields",PIT,"vs. DAL","3 out of 5 stars","B+","18.5","+1.3","58% (7/12)","27%","Average"
"7","C.J. Stroud",HOU,"vs. BUF","3 out of 5 stars","B+","18.2","+0.4","28% (4/14)","6%","Average"
"8","Joe Burrow",CIN,"vs. BAL","3 out of 5 stars","B","18.0","+1.7","66% (6/9)","3%","Bad"
"9","Geno Smith",SEA,"vs. NYG","4 out of 5 stars","B","17.8","0.0","53% (8/15)","2%","Bad"
"10","Patrick Mahomes II",KC,"vs. NO","2 out of 5 stars","B","17.5","-3.6","12% (2/16)","1%","Good"
"11","Kyler Murray",ARI,"at SF","3 out of 5 stars","B-","17.3","+0.3","54% (6/11)","2%","Good"
"12","Baker Mayfield",TB,"at ATL","3 out of 5 stars","B-","17.0","+2.8","68% (11/16)","6%","Great"
"13","Trevor Lawrence",JAC,"vs. IND","5 out of 5 stars","C+","16.7","0.0","33% (5/15)","5%","Bad"
"14","Anthony Richardson",IND,"at JAC","5 out of 5 stars","C-","16.4","-7.5","20% (1/5)","12%","Poor"
"15","Deshaun Watson",CLE,"at WAS","5 out of 5 stars","C","16.1","-2.6","42% (3/7)","6%","Average"
"16","Dak Prescott",DAL,"at PIT","3 out of 5 stars","C","15.8","+2.5","50% (8/16)","5%","Average"
"17","Caleb Williams",CHI,"vs. CAR","5 out of 5 stars","C","15.6","-4.7","25% (1/4)","2%","Bad"
"18","Sam Darnold",MIN,"vs. NYJ","3 out of 5 stars","C-","15.4","+5.0","75% (3/4)","1%","Great"
"19","Kirk Cousins",ATL,"vs. TB","2 out of 5 stars","D+","15.2","-1.8","50% (4/8)","0%","Good"
"20","Daniel Jones",NYG,"at SEA","3 out of 5 stars","D","15.0","-5.2","33% (2/6)","17%","Bad"
"21","Matthew Stafford",LAR,"vs. GB","3 out of 5 stars","D","14.7","+0.1","40% (6/15)","0%","Bad"
"22","Aaron Rodgers",NYJ,"at MIN","2 out of 5 stars","D-","14.5","-1.2","25% (1/4)","2%","Poor"
"23","Andy Dalton",CAR,"at CHI","2 out of 5 stars","F","14.2","+4.3","66% (2/3)","0%","Good"
"24","Derek Carr",NO,"at KC","2 out of 5 stars","F","14.0","+1.1","62% (10/16)","9%","Average"
"25","Bo Nix",DEN,"vs. LV","3 out of 5 stars","F","13.4","-1.9","25% (1/4)","11%","Bad"
"26","Tyler Huntley",MIA,"at NE","3 out of 5 stars","F","12.9","-2.6","0% (0/1)","13%","Good"
"27","Gardner Minshew II",LV,"at DEN","2 out of 5 stars","F","12.3","0.0","53% (8/15)","1%","Poor"
"28","Jacoby Brissett",NE,"vs. MIA","4 out of 5 stars","F","11.7","-5.5","0% (0/4)","3%","Bad"
"29","Joe Flacco",IND,"at JAC","5 out of 5 stars","F","3.5","+7.2","83% (5/6)","0%","Great"
"30","Aidan O'Connell",LV,"at DEN","2 out of 5 stars","F","0.0","-0.2","33% (3/9)","0%","Great"
