rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,2024.22,NO,1,CAR,0.0,2.9,0.0,0.8,0.6,0.0,0.2,0.0,18.3,7.9
2,2024.6,CHI,1,TEN,0.0,2.8,0.0,0.8,0.6,0.0,0.2,0.0,20.1,7.8
3,2024.7,CIN,1,NE,0.0,2.7,0.0,0.7,0.7,0.0,0.2,0.0,15.6,7.7
4,2024.30,SEA,1,DEN,0.0,2.7,0.0,0.8,0.6,0.0,0.2,0.0,17.6,7.7
5,2024.20,MIN,1,NYG,0.0,3.2,0.0,0.8,0.6,0.0,0.1,0.0,19.8,7.6
6,2024.2,ATL,1,PIT,0.0,2.7,0.0,0.7,0.6,0.0,0.2,0.0,19.0,7.5
7,2024.4,BUF,1,ARI,0.0,2.5,0.0,0.8,0.6,0.0,0.2,0.0,20.5,7.5
8,2024.31,SF,1,NYJ,0.0,2.6,0.0,0.7,0.6,0.0,0.2,0.0,19.2,7.4
9,2024.29,LAC,1,LV,0.0,2.6,0.0,0.7,0.6,0.0,0.2,0.0,18.6,7.4
10,2024.8,CLE,1,DAL,0.0,2.5,0.0,0.7,0.6,0.0,0.2,0.0,19.6,7.3
11,2024.33,TB,1,WAS,0.0,2.8,0.0,0.8,0.6,0.0,0.1,0.0,19.4,7.2
12,2024.23,NYG,1,MIN,0.0,2.8,0.0,0.8,0.6,0.0,0.1,0.0,20.5,7.2
13,2024.9,DAL,1,CLE,0.0,2.8,0.0,0.8,0.5,0.0,0.2,0.0,21.3,6.6
14,2024.13,HOU,1,IND,0.0,2.6,0.0,0.7,0.6,0.0,0.2,0.0,22.6,6.4
15,2024.16,KC,1,BAL,0.0,2.6,0.0,0.7,0.5,0.0,0.2,0.0,21.2,6.2
16,2024.28,PIT,1,ATL,0.0,2.5,0.0,0.7,0.5,0.0,0.2,0.0,22.1,6.1
17,2024.24,NYJ,1,SF,0.0,2.2,0.0,0.7,0.6,0.0,0.2,0.0,23.2,6.0
18,2024.26,PHI,1,GB,0.0,2.4,0.0,0.7,0.5,0.0,0.2,0.0,22.6,6.0
19,2024.19,MIA,1,JAX,0.0,2.5,0.0,0.8,0.6,0.0,0.1,0.0,22.1,5.9
20,2024.5,CAR,1,NO,0.0,2.2,0.0,0.7,0.5,0.0,0.2,0.0,22.3,5.8
21,2024.11,DET,1,LAR,0.0,2.4,0.0,0.8,0.5,0.0,0.1,0.0,23.3,5.6
22,2024.10,DEN,1,SEA,0.0,2.4,0.0,0.7,0.6,0.0,0.1,0.0,23.4,5.6
23,2024.35,WAS,1,TB,0.0,2.5,0.0,0.7,0.5,0.0,0.1,0.0,23.5,5.5
24,2024.12,GB,1,PHI,0.0,2.4,0.0,0.7,0.5,0.0,0.1,0.0,25.0,5.4
25,2024.14,IND,1,HOU,0.0,2.4,0.0,0.7,0.5,0.0,0.1,0.0,25.1,5.4
26,2024.34,TEN,1,CHI,0.0,2.4,0.0,0.7,0.5,0.0,0.1,0.0,24.0,5.4
27,2024.3,BAL,1,KC,0.0,2.1,0.0,0.7,0.6,0.0,0.1,0.0,24.2,5.3
28,2024.25,LV,1,LAC,0.0,2.4,0.0,0.6,0.5,0.0,0.1,0.0,21.6,5.2
29,2024.32,LAR,1,DET,0.0,2.2,0.0,0.7,0.5,0.0,0.1,0.0,26.7,5.2
30,2024.15,JAX,1,MIA,0.0,2.1,0.0,0.7,0.5,0.0,0.1,0.0,25.5,5.1
31,2024.21,NE,1,CIN,0.0,2.3,0.0,0.6,0.5,0.0,0.1,0.0,24.3,5.1
32,2024.1,ARI,1,BUF,0.0,1.9,0.0,0.7,0.5,0.0,0.1,0.0,26.7,4.9
